query,symbol
90956,ADCK2
203054,ADCK5
107,ADCY1
55811,ADCY10
221442,ADCY10P1
108,ADCY2
109,ADCY3
196883,ADCY4
111,ADCY5
112,ADCY6
100506125,ADCY6-DT
113,ADCY7
114,ADCY8
115,ADCY9
116,ADCYAP1
117,ADCYAP1R1
118,ADD1
119,ADD2
120,ADD3
100505933,ADD3-AS1
79747,ADGB
101928661,ADGB-DT
84435,ADGRA1
100128127,ADGRA1-AS1
25960,ADGRA2
166647,ADGRA3
575,ADGRB1
576,ADGRB2
577,ADGRB3
101928307,ADGRB3-DT
283383,ADGRD1
347088,ADGRD2
2015,ADGRE1
30817,ADGRE2
84658,ADGRE3
326342,ADGRE4P
976,ADGRE5
266977,ADGRF1
222611,ADGRF2
165082,ADGRF3
221393,ADGRF4
221395,ADGRF5
101926962,ADGRF5-AS1
9289,ADGRG1
10149,ADGRG2
222487,ADGRG3
139378,ADGRG4
221188,ADGRG5
57211,ADGRG6
84873,ADGRG7
22859,ADGRL1
100507373,ADGRL1-AS1
23266,ADGRL2
23284,ADGRL3
101927186,ADGRL3-AS1
64123,ADGRL4
84059,ADGRV1
124,ADH1A
125,ADH1B
126,ADH1C
127,ADH4
128,ADH5
130,ADH6
131,ADH7
137872,ADHFE1
55256,ADI1
149685,ADIG
9370,ADIPOQ
100874095,ADIPOQ-AS1
51094,ADIPOR1
79602,ADIPOR2
10974,ADIRF
54976,ADISSP
132,ADK
133,ADM
79924,ADM2
199800,ADM5
23394,ADNP
101927631,ADNP-AS1
22850,ADNP2
84890,ADO
134,ADORA1
135,ADORA2A
646023,ADORA2A-AS1
136,ADORA2B
140,ADORA3
83440,ADPGK
100287559,ADPGK-AS1
141,ADPRH
113622,ADPRHL1
56985,ADPRM
54936,ADPRS
148,ADRA1A
147,ADRA1B
146,ADRA1D
150,ADRA2A
151,ADRA2B
152,ADRA2C
153,ADRB1
154,ADRB2
155,ADRB3
11047,ADRM1
158,ADSL
122622,ADSS1
159,ADSS2
84830,ADTRP
165,AEBP1
121536,AEBP2
64782,AEN
60312,AFAP1
84740,AFAP1-AS1
134265,AFAP1L1
84632,AFAP1L2
4301,AFDN
653483,AFDN-DT
4299,AFF1
100506746,AFF1-AS1
2334,AFF2
3899,AFF3
27125,AFF4
246269,AFG1L
166378,AFG2A
79029,AFG2B
172,AFG3L1P
10939,AFG3L2
173,AFM
125061,AFMID
174,AFP
54812,AFTPH
101927402,AFTPH-DT
175,AGA
116987,AGAP1
100506749,AGAP1-IT1
119385,AGAP11
414224,AGAP12P
116986,AGAP2
100130776,AGAP2-AS1
116988,AGAP3
119016,AGAP4
729092,AGAP5
414189,AGAP6
653268,AGAP7P
642517,AGAP9
123624,AGBL1
727915,AGBL1-AS1
79841,AGBL2
340351,AGBL3
84871,AGBL4
101929721,AGBL4-AS1
100874313,AGBL4-IT1
60509,AGBL5
100874031,AGBL5-AS1
177,AGER
3267,AGFG1
3268,AGFG2
55109,AGGF1
55750,AGK
178,AGL
79814,AGMAT
392636,AGMO
26523,AGO1
27161,AGO2
192669,AGO3
192670,AGO4
10554,AGPAT1
10555,AGPAT2
56894,AGPAT3
56895,AGPAT4
79992,AGPAT4-IT1
55326,AGPAT5
8540,AGPS
10551,AGR2
155465,AGR3
375790,AGRN
181,AGRP
183,AGT
23287,AGTPBP1
185,AGTR1
186,AGTR2
57085,AGTRAP
189,AGXT
64902,AGXT2
25909,AHCTF1
285116,AHCTF1P1
191,AHCY
10768,AHCYL1
23382,AHCYL2
27245,AHDC1
54806,AHI1
100131814,AHI1-DT
79026,AHNAK
113146,AHNAK2
196,AHR
57491,AHRR
10598,AHSA1
130872,AHSA2P
197,AHSG
51327,AHSP
57379,AICDA
64853,AIDA
199,AIF1
83543,AIF1L
9131,AIFM1
84883,AIFM2
150209,AIFM3
51390,AIG1
9447,AIM2
9255,AIMP1
7965,AIMP2
9049,AIP
23746,AIPL1
326,AIRE
54955,AIRIM
100271873,AIRN
55966,AJAP1
389813,AJM1
84962,AJUBA
203,AK1
204,AK2
50808,AK3
205,AK4
26289,AK5
102157402,AK6
122481,AK7
158067,AK8
221264,AK9
642597,AKAIN1
8165,AKAP1
11216,AKAP10
11215,AKAP11
9590,AKAP12
11214,AKAP13
158798,AKAP14
8227,AKAP17A
10566,AKAP3
8852,AKAP4
9495,AKAP5
9472,AKAP6
9465,AKAP7
10270,AKAP8
26993,AKAP8L
10142,AKAP9
56672,AKIP1
79647,AKIRIN1
55122,AKIRIN2
80709,AKNA
254268,AKNAD1
10327,AKR1A1
231,AKR1B1
57016,AKR1B10
441282,AKR1B15
1645,AKR1C1
1646,AKR1C2
8644,AKR1C3
1109,AKR1C4
389932,AKR1C6P
340811,AKR1C8
6718,AKR1D1
83592,AKR1E2
8574,AKR7A2
246182,AKR7A2P1
22977,AKR7A3
246181,AKR7L
207,AKT1
84335,AKT1S1
208,AKT2
10000,AKT3
64400,AKTIP
210,ALAD
211,ALAS1
212,ALAS2
213,ALB
214,ALCAM
126133,ALDH16A1
5832,ALDH18A1
216,ALDH1A1
8854,ALDH1A2
220,ALDH1A3
101927751,ALDH1A3-AS1
219,ALDH1B1
10840,ALDH1L1
100874204,ALDH1L1-AS1
100862662,ALDH1L1-AS2
160428,ALDH1L2
217,ALDH2
218,ALDH3A1
224,ALDH3A2
221,ALDH3B1
222,ALDH3B2
8659,ALDH4A1
7915,ALDH5A1
4329,ALDH6A1
501,ALDH7A1
64577,ALDH8A1
223,ALDH9A1
226,ALDOA
229,ALDOB
230,ALDOC
56052,ALG1
84920,ALG10
144245,ALG10B
440138,ALG11
79087,ALG12
79868,ALG13
199857,ALG14
101928098,ALG14-AS1
200810,ALG1L1P
644974,ALG1L2
285407,ALG1L9P
85365,ALG2
10195,ALG3
29880,ALG5
29929,ALG6
79053,ALG8
79796,ALG9
238,ALK
389658,ALKAL1
285016,ALKAL2
8846,ALKBH1
121642,ALKBH2
221120,ALKBH3
100507300,ALKBH3-AS1
54784,ALKBH4
54890,ALKBH5
84964,ALKBH6
84266,ALKBH7
91801,ALKBH8
55821,ALLC
7840,ALMS1
100874291,ALMS1-IT1
200420,ALMS1P1
239,ALOX12
100506713,ALOX12-AS1
242,ALOX12B
245,ALOX12P2
246,ALOX15
247,ALOX15B
100652883,ALOX15P1
240,ALOX5
241,ALOX5AP
59344,ALOXE3
251,ALPG
248,ALPI
80216,ALPK1
115701,ALPK2
57538,ALPK3
249,ALPL
250,ALPP
57679,ALS2
259173,ALS2CL
8092,ALX1
257,ALX3
60529,ALX4
10189,ALYREF
23600,AMACR
258,AMBN
259,AMBP
55626,AMBRA1
262,AMD1
144193,AMDHD1
51005,AMDHD2
265,AMELX
266,AMELY
139285,AMER1
219287,AMER2
205147,AMER3
267,AMFR
268,AMH
269,AMHR2
57463,AMIGO1
347902,AMIGO2
386724,AMIGO3
9949,AMMECR1
83607,AMMECR1L
81693,AMN
196394,AMN1
154796,AMOT
154810,AMOTL1
51421,AMOTL2
270,AMPD1
271,AMPD2
272,AMPD3
273,AMPH
275,AMT
401138,AMTN
276,AMY1A
277,AMY1B
278,AMY1C
279,AMY2A
280,AMY2B
155185,AMZ1
51321,AMZ2
201283,AMZ2P1
64682,ANAPC1
10393,ANAPC10
51529,ANAPC11
25847,ANAPC13
25906,ANAPC15
119504,ANAPC16
100286979,ANAPC1P1
285074,ANAPC1P2
730268,ANAPC1P4
29882,ANAPC2
29945,ANAPC4
51433,ANAPC5
51434,ANAPC7
283,ANG
23357,ANGEL1
90806,ANGEL2
284,ANGPT1
285,ANGPT2
51378,ANGPT4
9068,ANGPTL1
23452,ANGPTL2
27329,ANGPTL3
51129,ANGPTL4
253935,ANGPTL5
83854,ANGPTL6
10218,ANGPTL7
55908,ANGPTL8
647589,ANHX
286,ANK1
287,ANK2
288,ANK3
150709,ANKAR
348094,ANKDD1A
728780,ANKDD1B
63926,ANKEF1
162282,ANKFN1
51479,ANKFY1
56172,ANKH
54882,ANKHD1
404734,ANKHD1-EIF4EBP3
54467,ANKIB1
255239,ANKK1
126549,ANKLE1
23141,ANKLE2
51281,ANKMY1
57037,ANKMY2
57763,ANKRA2
27063,ANKRD1
55608,ANKRD10
29123,ANKRD11
23253,ANKRD12
88455,ANKRD13A
124930,ANKRD13B
81573,ANKRD13C
11147,ANKRD13C-DT
338692,ANKRD13D
54522,ANKRD16
26057,ANKRD17
102724832,ANKRD17-DT
253650,ANKRD18A
441459,ANKRD18B
101926917,ANKRD18CP
348840,ANKRD18DP
138649,ANKRD19P
26287,ANKRD2
84210,ANKRD20A1
391267,ANKRD20A11P
100874392,ANKRD20A12P
400110,ANKRD20A19P
102723552,ANKRD20A21P
441430,ANKRD20A2P
441425,ANKRD20A3P
728747,ANKRD20A4P
440482,ANKRD20A5P
729171,ANKRD20A8P
284232,ANKRD20A9P
118932,ANKRD22
200539,ANKRD23
170961,ANKRD24
22852,ANKRD26
124149,ANKRD26P1
100101938,ANKRD26P3
84079,ANKRD27
23243,ANKRD28
147463,ANKRD29
91074,ANKRD30A
374860,ANKRD30B
554226,ANKRD30BL
149992,ANKRD30BP2
338579,ANKRD30BP3
256006,ANKRD31
341405,ANKRD33
651746,ANKRD33B
284615,ANKRD34A
340120,ANKRD34B
390616,ANKRD34C
729911,ANKRD34C-AS1
148741,ANKRD35
375248,ANKRD36
57730,ANKRD36B
84832,ANKRD36BP1
645784,ANKRD36BP2
400986,ANKRD36C
353322,ANKRD37
51239,ANKRD39
91369,ANKRD40
55018,ANKRD40CL
338699,ANKRD42
100506282,ANKRD42-DT
91526,ANKRD44
101927596,ANKRD44-AS1
101927547,ANKRD44-IT1
339416,ANKRD45
157567,ANKRD46
54851,ANKRD49
57182,ANKRD50
283373,ANKRD52
79998,ANKRD53
129138,ANKRD54
79722,ANKRD55
22881,ANKRD6
140731,ANKRD60
100310846,ANKRD61
342850,ANKRD62
23783,ANKRD62P1-PARP4P3
100131244,ANKRD63
441869,ANKRD65
100287718,ANKRD66
56311,ANKRD7
122416,ANKRD9
23294,ANKS1A
56899,ANKS1B
124401,ANKS3
257629,ANKS4B
203286,ANKS6
389161,ANKUB1
55139,ANKZF1
54443,ANLN
55107,ANO1
55129,ANO10
57101,ANO2
63982,ANO3
121601,ANO4
203859,ANO5
196527,ANO6
50636,ANO7
101927546,ANO7L1
57719,ANO8
338440,ANO9
3730,ANOS1
8125,ANP32A
80035,ANP32A-IT1
723972,ANP32AP1
10541,ANP32B
23520,ANP32CP
23519,ANP32D
81611,ANP32E
290,ANPEP
65990,ANTKMT
84168,ANTXR1
118429,ANTXR2
195977,ANTXRL
100996567,ANTXRLP1
301,ANXA1
11199,ANXA10
311,ANXA11
312,ANXA13
302,ANXA2
303,ANXA2P1
304,ANXA2P2
305,ANXA2P3
389289,ANXA2R
153684,ANXA2R-AS1
648987,ANXA2R-OT1
306,ANXA3
307,ANXA4
308,ANXA5
309,ANXA6
310,ANXA7
653145,ANXA8
728113,ANXA8L1
8416,ANXA9
313,AOAH
100874264,AOAH-IT1
26,AOC1
314,AOC2
8639,AOC3
90586,AOC4P
84909,AOPEP
316,AOX1
344454,AOX2P
55435,AP1AR
162,AP1B1
23782,AP1B1P1
164,AP1G1
8906,AP1G2
102724814,AP1G2-AS1
8907,AP1M1
10053,AP1M2
1174,AP1S1
8905,AP1S2
130340,AP1S3
160,AP2A1
161,AP2A2
163,AP2B1
1173,AP2M1
1175,AP2S1
8546,AP3B1
8120,AP3B2
8943,AP3D1
26985,AP3M1
10947,AP3M2
1176,AP3S1
10239,AP3S2
10717,AP4B1
100287722,AP4B1-AS1
23431,AP4E1
9179,AP4M1
11154,AP4S1
91056,AP5B1
55745,AP5M1
55317,AP5S1
9907,AP5Z1
317,APAF1
320,APBA1
321,APBA2
9546,APBA3
322,APBB1
54518,APBB1IP
323,APBB2
10307,APBB3
324,APC
10297,APC2
147495,APCDD1
164284,APCDD1L
149773,APCDD1L-DT
325,APCS
327,APEH
100506013,APELA
328,APEX1
27301,APEX2
51107,APH1A
83464,APH1B
8539,API5
51074,APIP
200558,APLF
8862,APLN
187,APLNR
333,APLP1
334,APLP2
57136,APMAP
335,APOA1
336,APOA2
337,APOA4
116519,APOA5
338,APOB
339,APOBEC1
10930,APOBEC2
200315,APOBEC3A
100913187,APOBEC3A_B
9582,APOBEC3B
100874530,APOBEC3B-AS1
27350,APOBEC3C
140564,APOBEC3D
200316,APOBEC3F
60489,APOBEC3G
164668,APOBEC3H
403314,APOBEC4
55911,APOBR
341,APOC1
342,APOC1P1
344,APOC2
345,APOC3
346,APOC4
100533990,APOC4-APOC2
347,APOD
348,APOE
319,APOF
350,APOH
8542,APOL1
23780,APOL2
80833,APOL3
80832,APOL4
80830,APOL6
81575,APOLD1
55937,APOM
79135,APOO
139322,APOOL
644649,APOOP5
351,APP
100506123,APPAT
10513,APPBP2
26060,APPL1
55198,APPL2
339883,APRG1
353,APRT
100505854,APTR
54840,APTX
358,AQP1
89872,AQP10
282679,AQP11
375318,AQP12A
653437,AQP12B
359,AQP2
360,AQP3
361,AQP4
147429,AQP4-AS1
362,AQP5
101927318,AQP5-AS1
363,AQP6
364,AQP7
100509620,AQP7B
375719,AQP7P1
441432,AQP7P3
102724655,AQP7P5
343,AQP8
366,AQP9
9716,AQR
367,AR
369,ARAF
116985,ARAP1
116984,ARAP2
64411,ARAP3
23237,ARC
372,ARCN1
374,AREG
9870,AREL1
375,ARF1
377,ARF3
378,ARF4
381,ARF5
382,ARF6
55738,ARFGAP1
84364,ARFGAP2
26286,ARFGAP3
10565,ARFGEF1
102724708,ARFGEF1-DT
10564,ARFGEF2
57221,ARFGEF3
27236,ARFIP1
23647,ARFIP2
10139,ARFRP1
383,ARG1
384,ARG2
503582,ARGFX
503640,ARGFXP2
55082,ARGLU1
283483,ARGLU1-DT
392,ARHGAP1
79658,ARHGAP10
9824,ARHGAP11A
101928042,ARHGAP11A-DT
89839,ARHGAP11B
102725021,ARHGAP11B-DT
94134,ARHGAP12
55843,ARHGAP15
55114,ARHGAP17
93663,ARHGAP18
84986,ARHGAP19
100533184,ARHGAP19-SLIT1
57569,ARHGAP20
57584,ARHGAP21
58504,ARHGAP22
57636,ARHGAP23
83478,ARHGAP24
9938,ARHGAP25
23092,ARHGAP26
100874239,ARHGAP26-AS1
100874372,ARHGAP26-IT1
201176,ARHGAP27
146880,ARHGAP27P1
440461,ARHGAP27P2
79822,ARHGAP28
101927168,ARHGAP28-AS1
9411,ARHGAP29
257106,ARHGAP30
57514,ARHGAP31
100874246,ARHGAP31-AS1
9743,ARHGAP32
115703,ARHGAP33
2909,ARHGAP35
158763,ARHGAP36
80728,ARHGAP39
393,ARHGAP4
343578,ARHGAP40
143872,ARHGAP42
9912,ARHGAP44
100128006,ARHGAP44-AS1
23526,ARHGAP45
394,ARHGAP5
84837,ARHGAP5-AS1
395,ARHGAP6
23779,ARHGAP8
64333,ARHGAP9
396,ARHGDIA
397,ARHGDIB
398,ARHGDIG
9138,ARHGEF1
9639,ARHGEF10
55160,ARHGEF10L
9826,ARHGEF11
23365,ARHGEF12
22899,ARHGEF15
27237,ARHGEF16
9828,ARHGEF17
23370,ARHGEF18
128272,ARHGEF19
9181,ARHGEF2
115557,ARHGEF25
26084,ARHGEF26
100507524,ARHGEF26-AS1
64283,ARHGEF28
50650,ARHGEF3
100874200,ARHGEF3-AS1
100271715,ARHGEF33
728377,ARHGEF34P
445328,ARHGEF35
101928605,ARHGEF35-AS1
389337,ARHGEF37
54848,ARHGEF38
100874374,ARHGEF38-IT1
84904,ARHGEF39
50649,ARHGEF4
55701,ARHGEF40
7984,ARHGEF5
9459,ARHGEF6
8874,ARHGEF7
100874226,ARHGEF7-AS1
23229,ARHGEF9
100874355,ARHGEF9-IT1
8289,ARID1A
57492,ARID1B
196528,ARID2
1820,ARID3A
10620,ARID3B
138715,ARID3C
5926,ARID4A
51742,ARID4B
10865,ARID5A
84159,ARID5B
25820,ARIH1
10425,ARIH2
646450,ARIH2OS
494470,ARK2C
147339,ARK2N
400,ARL1
285598,ARL10
115761,ARL11
392509,ARL13A
200894,ARL13B
80117,ARL14
120534,ARL14EP
644100,ARL14EPL
54622,ARL15
339231,ARL16
51326,ARL17A
100506084,ARL17B
402,ARL2
100528018,ARL2-SNX15
23568,ARL2BP
403,ARL3
10124,ARL4A
10123,ARL4C
379,ARL4D
26225,ARL5A
221079,ARL5B
390790,ARL5C
84100,ARL6
23204,ARL6IP1
51329,ARL6IP4
10550,ARL6IP5
151188,ARL6IP6
127829,ARL8A
55207,ARL8B
132946,ARL9
100996425,ARLNC1
55156,ARMC1
83787,ARMC10
221481,ARMC12
84071,ARMC2
101929716,ARMC2-AS1
219681,ARMC3
79798,ARMC5
93436,ARMC6
79637,ARMC7
25852,ARMC8
80210,ARMC9
51309,ARMCX1
9823,ARMCX2
51566,ARMCX3
100131755,ARMCX4
64860,ARMCX5
100528062,ARMCX5-GPRASP2
54470,ARMCX6
339541,ARMH1
101928603,ARMH2
79591,ARMH3
145407,ARMH4
387715,ARMS2
79624,ARMT1
405,ARNT
9915,ARNT2
101929560,ARNT2-DT
10552,ARPC1A
10095,ARPC1B
10109,ARPC2
10094,ARPC3
10093,ARPC4
100526693,ARPC4-TTLL3
10092,ARPC5
81873,ARPC5L
348110,ARPIN
100526783,ARPIN-AP3S2
10776,ARPP19
10777,ARPP21
407,ARR3
408,ARRB1
409,ARRB2
92714,ARRDC1
85026,ARRDC1-AS1
27106,ARRDC2
57561,ARRDC3
100129716,ARRDC3-AS1
91947,ARRDC4
645432,ARRDC5
410,ARSA
411,ARSB
414,ARSD
416,ARSF
22901,ARSG
347527,ARSH
340075,ARSI
79642,ARSJ
153642,ARSK
415,ARSL
417,ART1
419,ART3
420,ART4
116969,ART5
9048,ARTN
64801,ARV1
421,ARVCF
170302,ARX
57412,AS3MT
427,ASAH1
101929066,ASAH1-AS1
56624,ASAH2
653308,ASAH2B
50807,ASAP1
29065,ASAP1-IT1
100507117,ASAP1-IT2
8853,ASAP2
55616,ASAP3
51665,ASB1
136371,ASB10
140456,ASB11
142689,ASB12
79754,ASB13
142686,ASB14
142685,ASB15
102724555,ASB15-AS1
92591,ASB16
339201,ASB16-AS1
127247,ASB17
401036,ASB18
51676,ASB2
51130,ASB3
51666,ASB4
140458,ASB5
140459,ASB6
140460,ASB7
140461,ASB8
140462,ASB9
728619,ASB9P1
51008,ASCC1
84164,ASCC2
10973,ASCC3
429,ASCL1
430,ASCL2
56676,ASCL3
121549,ASCL4
647219,ASCL5
25842,ASF1A
55723,ASF1B
432,ASGR1
433,ASGR2
55870,ASH1L
645676,ASH1L-AS1
9070,ASH2L
41,ASIC1
40,ASIC2
9311,ASIC3
55515,ASIC4
51802,ASIC5
434,ASIP
435,ASL
438,ASMT
8623,ASMTL
80161,ASMTL-AS1
440,ASNS
54529,ASNSD1
443,ASPA
554235,ASPDH
374569,ASPG
444,ASPH
253982,ASPHD1
57168,ASPHD2
259266,ASPM
54829,ASPN
151516,ASPRV1
79058,ASPSCR1
80150,ASRGL1
445,ASS1
28990,ASTE1
431705,ASTL
460,ASTN1
23245,ASTN2
100128505,ASTN2-AS1
171023,ASXL1
55252,ASXL2
80816,ASXL3
136991,ASZ1
84896,ATAD1
29028,ATAD2
54454,ATAD2B
55210,ATAD3A
83858,ATAD3B
219293,ATAD3C
79915,ATAD5
79969,ATAT1
85300,ATCAY
11101,ATE1
100130887,ATE1-AS1
466,ATF1
1386,ATF2
467,ATF3
468,ATF4
22809,ATF5
22926,ATF6
102724329,ATF6-DT
1388,ATF6B
11016,ATF7
55729,ATF7IP
80063,ATF7IP2
83734,ATG10
60673,ATG101
9140,ATG12
9776,ATG13
22863,ATG14
55054,ATG16L1
89849,ATG16L2
23130,ATG2A
55102,ATG2B
64422,ATG3
115201,ATG4A
23192,ATG4B
84938,ATG4C
84971,ATG4D
9474,ATG5
10533,ATG7
79065,ATG9A
285973,ATG9B
471,ATIC
51062,ATL1
64225,ATL2
25923,ATL3
472,ATM
23300,ATMIN
1822,ATN1
474,ATOH1
220202,ATOH7
84913,ATOH8
56204,ATOSA
80256,ATOSB
475,ATOX1
57194,ATP10A
23120,ATP10B
57205,ATP10D
23250,ATP11A
100874205,ATP11A-AS1
400165,ATP11AUN
23200,ATP11B
286410,ATP11C
479,ATP12A
57130,ATP13A1
23400,ATP13A2
79572,ATP13A3
401106,ATP13A3-DT
84239,ATP13A4
101929198,ATP13A4-AS1
344905,ATP13A5
100874218,ATP13A5-AS1
476,ATP1A1
84852,ATP1A1-AS1
477,ATP1A2
478,ATP1A3
480,ATP1A4
481,ATP1B1
482,ATP1B2
483,ATP1B3
23439,ATP1B4
91419,ATP23
487,ATP2A1
100289092,ATP2A1-AS1
488,ATP2A2
489,ATP2A3
490,ATP2B1
338758,ATP2B1-AS1
491,ATP2B2
100874325,ATP2B2-IT2
492,ATP2B3
493,ATP2B4
27032,ATP2C1
9914,ATP2C2
495,ATP4A
496,ATP4B
498,ATP5F1A
506,ATP5F1B
509,ATP5F1C
513,ATP5F1D
514,ATP5F1E
432369,ATP5F1EP2
93974,ATP5IF1
516,ATP5MC1
517,ATP5MC2
518,ATP5MC3
521,ATP5ME
9551,ATP5MF
100526740,ATP5MF-PTCD1
10632,ATP5MG
267020,ATP5MGL
9556,ATP5MJ
84833,ATP5MK
515,ATP5PB
10476,ATP5PD
522,ATP5PF
539,ATP5PO
